№,Секунда ,Микросекунда
1,2024-10-25 21:58:20.069528,69530
2,2024-10-25 21:58:20.079605,79607
3,2024-10-25 21:58:20.089682,89684
4,2024-10-25 21:58:20.099756,99757
5,2024-10-25 21:58:20.109828,109829
6,2024-10-25 21:58:20.119898,119898
7,2024-10-25 21:58:20.129967,129967
8,2024-10-25 21:58:20.140035,140036
9,2024-10-25 21:58:20.150113,150115
10,2024-10-25 21:58:20.160199,160201
11,2024-10-25 21:58:20.170278,170278
12,2024-10-25 21:58:20.180348,180349
13,2024-10-25 21:58:20.190424,190426
14,2024-10-25 21:58:20.200510,200512
15,2024-10-25 21:58:20.210591,210593
16,2024-10-25 21:58:20.220666,220667
17,2024-10-25 21:58:20.230761,230762
18,2024-10-25 21:58:20.240858,240860
19,2024-10-25 21:58:20.250944,250946
20,2024-10-25 21:58:20.261025,261025
21,2024-10-25 21:58:20.271129,271132
22,2024-10-25 21:58:20.281217,281219
23,2024-10-25 21:58:20.291300,291301
24,2024-10-25 21:58:20.301407,301410
25,2024-10-25 21:58:20.311518,311520
26,2024-10-25 21:58:20.321606,321608
27,2024-10-25 21:58:20.331684,331686
28,2024-10-25 21:58:20.341760,341762
29,2024-10-25 21:58:20.351835,351836
30,2024-10-25 21:58:20.361913,361916
31,2024-10-25 21:58:20.371993,371995
32,2024-10-25 21:58:20.382078,382080
33,2024-10-25 21:58:20.392160,392162
34,2024-10-25 21:58:20.402238,402240
35,2024-10-25 21:58:20.412329,412331
36,2024-10-25 21:58:20.422405,422406
37,2024-10-25 21:58:20.432506,432508
38,2024-10-25 21:58:20.442614,442617
39,2024-10-25 21:58:20.452715,452717
40,2024-10-25 21:58:20.462814,462816
41,2024-10-25 21:58:20.472893,472895
42,2024-10-25 21:58:20.482973,482974
43,2024-10-25 21:58:20.493048,493049
44,2024-10-25 21:58:20.503133,503136
45,2024-10-25 21:58:20.513242,513244
46,2024-10-25 21:58:20.523346,523348
47,2024-10-25 21:58:20.533449,533451
48,2024-10-25 21:58:20.543562,543564
49,2024-10-25 21:58:20.553645,553647
50,2024-10-25 21:58:20.563745,563747
51,2024-10-25 21:58:20.573852,573854
52,2024-10-25 21:58:20.583961,583963
53,2024-10-25 21:58:20.594070,594073
54,2024-10-25 21:58:20.604179,604182
55,2024-10-25 21:58:20.614291,614294
56,2024-10-25 21:58:20.624393,624395
57,2024-10-25 21:58:20.634504,634507
58,2024-10-25 21:58:20.644615,644617
59,2024-10-25 21:58:20.654732,654735
60,2024-10-25 21:58:20.664840,664843
61,2024-10-25 21:58:20.674948,674950
62,2024-10-25 21:58:20.685061,685064
63,2024-10-25 21:58:20.695153,695155
64,2024-10-25 21:58:20.705237,705239
65,2024-10-25 21:58:20.715315,715316
66,2024-10-25 21:58:20.725417,725419
67,2024-10-25 21:58:20.735525,735527
68,2024-10-25 21:58:20.745607,745609
69,2024-10-25 21:58:20.755689,755690
70,2024-10-25 21:58:20.765783,765785
71,2024-10-25 21:58:20.775887,775889
72,2024-10-25 21:58:20.785996,785998
73,2024-10-25 21:58:20.796109,796112
74,2024-10-25 21:58:20.806225,806227
75,2024-10-25 21:58:20.816326,816328
76,2024-10-25 21:58:20.826432,826435
77,2024-10-25 21:58:20.836548,836550
78,2024-10-25 21:58:20.846659,846661
79,2024-10-25 21:58:20.856766,856768
80,2024-10-25 21:58:20.866872,866875
81,2024-10-25 21:58:20.876973,876975
82,2024-10-25 21:58:20.887059,887061
83,2024-10-25 21:58:20.897167,897169
84,2024-10-25 21:58:20.907280,907283
85,2024-10-25 21:58:20.917382,917384
86,2024-10-25 21:58:20.927487,927489
87,2024-10-25 21:58:20.937595,937597
88,2024-10-25 21:58:20.947702,947704
89,2024-10-25 21:58:20.957809,957812
90,2024-10-25 21:58:20.967917,967919
91,2024-10-25 21:58:20.978026,978028
92,2024-10-25 21:58:20.988138,988141
93,2024-10-25 21:58:20.998248,998250
94,2024-10-25 21:58:21.008362,8365
95,2024-10-25 21:58:21.018449,18450
96,2024-10-25 21:58:21.028538,28540
97,2024-10-25 21:58:21.038622,38624
98,2024-10-25 21:58:21.048702,48703
99,2024-10-25 21:58:21.058787,58789
100,2024-10-25 21:58:21.068878,68880
101,2024-10-25 21:58:21.078954,78955
102,2024-10-25 21:58:21.089027,89028
103,2024-10-25 21:58:21.099109,99111
104,2024-10-25 21:58:21.109185,109186
105,2024-10-25 21:58:21.119256,119257
106,2024-10-25 21:58:21.129327,129328
107,2024-10-25 21:58:21.139399,139400
108,2024-10-25 21:58:21.149499,149501
109,2024-10-25 21:58:21.159605,159608
110,2024-10-25 21:58:21.169713,169715
111,2024-10-25 21:58:21.179821,179823
112,2024-10-25 21:58:21.189928,189930
113,2024-10-25 21:58:21.200036,200038
114,2024-10-25 21:58:21.210144,210146
115,2024-10-25 21:58:21.220251,220254
116,2024-10-25 21:58:21.230360,230362
117,2024-10-25 21:58:21.240465,240467
118,2024-10-25 21:58:21.250554,250556
119,2024-10-25 21:58:21.260661,260664
120,2024-10-25 21:58:21.270768,270771
121,2024-10-25 21:58:21.280853,280855
122,2024-10-25 21:58:21.290937,290940
123,2024-10-25 21:58:21.301017,301019
124,2024-10-25 21:58:21.311111,311114
125,2024-10-25 21:58:21.321198,321200
126,2024-10-25 21:58:21.331277,331279
127,2024-10-25 21:58:21.341356,341358
128,2024-10-25 21:58:21.351431,351432
129,2024-10-25 21:58:21.361508,361510
130,2024-10-25 21:58:21.371589,371590
131,2024-10-25 21:58:21.381666,381668
132,2024-10-25 21:58:21.391747,391749
133,2024-10-25 21:58:21.401831,401834
134,2024-10-25 21:58:21.411911,411913
135,2024-10-25 21:58:21.421992,421994
136,2024-10-25 21:58:21.432077,432079
137,2024-10-25 21:58:21.442162,442164
138,2024-10-25 21:58:21.452238,452238
139,2024-10-25 21:58:21.462310,462311
140,2024-10-25 21:58:21.472379,472381
141,2024-10-25 21:58:21.482461,482462
142,2024-10-25 21:58:21.492531,492531
143,2024-10-25 21:58:21.502634,502637
144,2024-10-25 21:58:21.512750,512752
145,2024-10-25 21:58:21.522865,522867
146,2024-10-25 21:58:21.532980,532982
147,2024-10-25 21:58:21.543124,543127
148,2024-10-25 21:58:21.553245,553248
149,2024-10-25 21:58:21.563371,563374
150,2024-10-25 21:58:21.573485,573487
151,2024-10-25 21:58:21.583592,583595
152,2024-10-25 21:58:21.593700,593702
153,2024-10-25 21:58:21.603807,603809
154,2024-10-25 21:58:21.613914,613917
155,2024-10-25 21:58:21.624004,624006
156,2024-10-25 21:58:21.634086,634088
157,2024-10-25 21:58:21.644164,644165
158,2024-10-25 21:58:21.654264,654267
159,2024-10-25 21:58:21.664365,664367
160,2024-10-25 21:58:21.674477,674479
161,2024-10-25 21:58:21.684584,684587
162,2024-10-25 21:58:21.694685,694687
163,2024-10-25 21:58:21.704791,704794
164,2024-10-25 21:58:21.714905,714908
165,2024-10-25 21:58:21.725015,725017
